"","story","speaker_face","speaker_side","novel_word","key","thematic_dist","text_dist","taxonomic_dist","thematic_pdist","text_pdist","taxonomic_pdist","word_type","sound_file","intro_file","video_file","social_condition"
"37","kyla","front","left","loche","car.jpg","road.jpg","princess.jpg","ship.jpg","street.jpg","prince.jpg","bike.jpg","noun","look_find_loche_see_it.mp3","kyla_intro_front_listener.mp4","kyla_front_listener.mp4","direct"
"38","kyla","front","right","loche","car.jpg","road.jpg","princess.jpg","ship.jpg","street.jpg","prince.jpg","bike.jpg","noun","look_find_loche_see_it.mp3","kyla_intro_front_listener_right.mp4","kyla_front_listener_right.mp4","direct"
"45","luke","front","left","dax","cook.mp4","wipe.mp4","peel.mp4","chew.mp4","wipe.mp4","peel.mp4","chew.mp4","verb","look_find_daxing_see_it.mp3","luke_intro_front_listener.mp4","luke_front_listener.mp4","direct"
"46","luke","front","right","dax","cook.mp4","wipe.mp4","peel.mp4","chew.mp4","wipe.mp4","peel.mp4","chew.mp4","verb","look_find_daxing_see_it.mp3","luke_intro_front_listener_right.mp4","luke_front_listener_right.mp4","direct"
"49","mark","front","left","terb","cake.jpg","fork.jpg","candle.jpg","doughnut.jpg","plate.jpg","gift.jpg","pizza.jpg","noun","look_find_terb_see_it.mp3","mark_intro_front_listener.mp4","mark_front_listener.mp4","direct"
"50","mark","front","right","terb","cake.jpg","fork.jpg","candle.jpg","doughnut.jpg","plate.jpg","gift.jpg","pizza.jpg","noun","look_find_terb_see_it.mp3","mark_intro_front_listener_right.mp4","mark_front_listener_right.mp4","direct"
"53","mike","front","left","modi","cut.mp4","wash.mp4","mix.mp4","pour.mp4","wash.mp4","mix.mp4","pour.mp4","verb","look_find_modiing_see_it.mp3","mike_intro_front_listener.mp4","mike_front_listener.mp4","direct"
"54","mike","front","right","modi","cut.mp4","wash.mp4","mix.mp4","pour.mp4","wash.mp4","mix.mp4","pour.mp4","verb","look_find_modiing_see_it.mp3","mike_intro_front_listener_right.mp4","mike_front_listener_right.mp4","direct"
"57","nina","front","left","jav","fall.mp4","turn.mp4","wobble.mp4","sit.mp4","turn.mp4","wobble.mp4","sit.mp4","verb","look_find_javing_see_it.mp3","nina_intro_front_listener.mp4","nina_front_listener.mp4","direct"
"58","nina","front","right","jav","fall.mp4","turn.mp4","wobble.mp4","sit.mp4","turn.mp4","wobble.mp4","sit.mp4","verb","look_find_javing_see_it.mp3","nina_intro_front_listener_right.mp4","nina_front_listener_right.mp4","direct"
"61","olivia","front","left","tope","swim.mp4","walk.mp4","fly.mp4","monkey_eat.mp4","walk.mp4","fly.mp4","monkey_eat.mp4","verb","look_find_topeing_see_it.mp3","olivia_intro_front_listener.mp4","olivia_front_listener.mp4","direct"
"62","olivia","front","right","tope","swim.mp4","walk.mp4","fly.mp4","monkey_eat.mp4","walk.mp4","fly.mp4","monkey_eat.mp4","verb","look_find_topeing_see_it.mp3","olivia_intro_front_listener_right.mp4","olivia_front_listener_right.mp4","direct"
"65","robbie","front","left","wug","count.mp4","shout.mp4","nod.mp4","cry.mp4","shout.mp4","nod.mp4","cry.mp4","verb","look_find_wuging_see_it.mp3","robbie_intro_front_listener.mp4","robbie_front_listener.mp4","direct"
"66","robbie","front","right","wug","count.mp4","shout.mp4","nod.mp4","cry.mp4","shout.mp4","nod.mp4","cry.mp4","verb","look_find_wuging_see_it.mp3","robbie_intro_front_listener_right.mp4","robbie_front_listener_right.mp4","direct"
"69","shirley","front","left","bosa","hair.jpg","hairbrush.jpg","witch_hat.jpg","face.jpg","comb.jpg","dress.jpg","eyebrow.jpg","noun","look_find_bosa_see_it.mp3","shirley_intro_front_listener.mp4","shirley_front_listener.mp4","direct"
"70","shirley","front","right","bosa","hair.jpg","hairbrush.jpg","witch_hat.jpg","face.jpg","comb.jpg","dress.jpg","eyebrow.jpg","noun","look_find_bosa_see_it.mp3","shirley_intro_front_listener_right.mp4","shirley_front_listener_right.mp4","direct"
"73","winter","front","left","zab","snow.jpg","sled.jpg","dog.jpg","rain.jpg","skateboard.jpg","squirrel.jpg","ice.jpg","noun","look_find_zab_see_it.mp3","winter_intro_front_listener.mp4","winter_v1_front_listener.mp4","direct"
"74","winter","front","right","zab","snow.jpg","sled.jpg","dog.jpg","rain.jpg","skateboard.jpg","squirrel.jpg","ice.jpg","noun","look_find_zab_see_it.mp3","winter_intro_front_listener_right.mp4","winter_v1_front_listener_right.mp4","direct"
"77","zoey","front","left","geag","sky.jpg","moon.jpg","sandcastle.jpg","ocean.jpg","star.jpg","bucket.jpg","sand.jpg","noun","look_find_geag_see_it.mp3","zoey_intro_front_listener.mp4","zoey_front_listener.mp4","direct"
"78","zoey","front","right","geag","sky.jpg","moon.jpg","sandcastle.jpg","ocean.jpg","star.jpg","bucket.jpg","sand.jpg","noun","look_find_geag_see_it.mp3","zoey_intro_front_listener_right.mp4","zoey_front_listener_right.mp4","direct"
"3","alex","side","left","koob","tree.jpg","leaf.jpg","apple.jpg","flower.jpg","bird.jpg","honey.jpg","grass.jpg","noun","look_find_koob_see_it.mp3","alex_intro_side_listener.mp4","alex_side_listener.mp4","indirect"
"4","alex","side","right","koob","tree.jpg","leaf.jpg","apple.jpg","flower.jpg","bird.jpg","honey.jpg","grass.jpg","noun","look_find_koob_see_it.mp3","alex_intro_side_listener_right.mp4","alex_side_listener_right.mp4","indirect"
"7","billy","side","left","poip","money.jpg","bag.jpg","pocket.jpg","gold.jpg","jar.jpg","restroom.jpg","diamond.jpg","noun","look_find_poip_see_it.mp3","billy_intro_side_listener.mp4","billy_v1_side_listener.mp4","indirect"
"8","billy","side","right","poip","money.jpg","bag.jpg","pocket.jpg","gold.jpg","jar.jpg","restroom.jpg","diamond.jpg","noun","look_find_poip_see_it.mp3","billy_intro_side_listener_right.mp4","billy_v1_side_listener_right.mp4","indirect"
"11","cathy","side","left","manu","book.jpg","shelf.jpg","farm.jpg","newspaper.jpg","table.jpg","library.jpg","photo.jpg","noun","look_find_manu_see_it.mp3","cathy_intro_side_listener.mp4","cathy_v1_side_listener.mp4","indirect"
"12","cathy","side","right","manu","book.jpg","shelf.jpg","farm.jpg","newspaper.jpg","table.jpg","library.jpg","photo.jpg","noun","look_find_manu_see_it.mp3","cathy_intro_side_listener_right.mp4","cathy_v1_side_listener_right.mp4","indirect"
"15","circus","side","left","pim","jump.mp4","squat.mp4","greet.mp4","clap.mp4","squat.mp4","greet.mp4","clap.mp4","verb","look_find_piming_see_it.mp3","circus_intro_side_listener.mp4","circus_side_listener.mp4","indirect"
"16","circus","side","right","pim","jump.mp4","squat.mp4","greet.mp4","clap.mp4","squat.mp4","greet.mp4","clap.mp4","verb","look_find_piming_see_it.mp3","circus_intro_side_listener_right.mp4","circus_side_listener_right.mp4","indirect"
"19","david","side","left","vab","paper.jpg","clip.jpg","pencil.jpg","chalkboard.jpg","stapler.jpg","crayon.jpg","whiteboard.jpg","noun","look_find_vab_see_it.mp3","david_intro_side_listener.mp4","david_side_listener.mp4","indirect"
"20","david","side","right","vab","paper.jpg","clip.jpg","pencil.jpg","chalkboard.jpg","stapler.jpg","crayon.jpg","whiteboard.jpg","noun","look_find_vab_see_it.mp3","david_intro_side_listener_right.mp4","david_side_listener_right.mp4","indirect"
"23","grandpa","side","left","blick","grow.mp4","dig.mp4","shine.mp4","water.mp4","dig.mp4","shine.mp4","water.mp4","verb","look_find_blicking_see_it.mp3","grandpa_intro_side_listener.mp4","grandpa_side_listener.mp4","indirect"
"24","grandpa","side","right","blick","grow.mp4","dig.mp4","shine.mp4","water.mp4","dig.mp4","shine.mp4","water.mp4","verb","look_find_blicking_see_it.mp3","grandpa_intro_side_listener_right.mp4","grandpa_side_listener_right.mp4","indirect"
"27","henry","side","left","pilk","wear.mp4","drink.mp4","roll.mp4","eat.mp4","drink.mp4","roll.mp4","eat.mp4","verb","look_find_pilking_see_it.mp3","henry_v1_intro_side_listener.mp4","henry_v1_side_listener.mp4","indirect"
"28","henry","side","right","pilk","wear.mp4","drink.mp4","roll.mp4","eat.mp4","drink.mp4","roll.mp4","eat.mp4","verb","look_find_pilking_see_it.mp3","henry_v1_intro_side_listener_right.mp4","henry_v1_side_listener_right.mp4","indirect"
"31","jack","side","left","twill","open.mp4","grab.mp4","run.mp4","catch.mp4","grab.mp4","run.mp4","catch.mp4","verb","look_find_twilling_see_it.mp3","jack_intro_side_listener.mp4","jack_side_listener.mp4","indirect"
"32","jack","side","right","twill","open.mp4","grab.mp4","run.mp4","catch.mp4","grab.mp4","run.mp4","catch.mp4","verb","look_find_twilling_see_it.mp3","jack_intro_side_listener_right.mp4","jack_side_listener_right.mp4","indirect"
"35","john","side","left","dage","bed.jpg","pillow.jpg","baseball.jpg","chair.jpg","blanket.jpg","soccer_ball.jpg","dresser.jpg","noun","look_find_dage_see_it.mp3","john_v1_intro_side_listener.mp4","john_v1_side_listener.mp4","indirect"
"36","john","side","right","dage","bed.jpg","pillow.jpg","baseball.jpg","chair.jpg","blanket.jpg","soccer_ball.jpg","dresser.jpg","noun","look_find_dage_see_it.mp3","john_v1_intro_side_listener_right.mp4","john_v1_side_listener_right.mp4","indirect"
"43","leo","side","left","larp","kick.mp4","bend.mp4","stand.mp4","lift.mp4","bend.mp4","stand.mp4","lift.mp4","verb","look_find_larping_see_it.mp3","leo_intro_side_listener.mp4","leo_side_listener.mp4","indirect"
"44","leo","side","right","larp","kick.mp4","bend.mp4","stand.mp4","lift.mp4","bend.mp4","stand.mp4","lift.mp4","verb","look_find_larping_see_it.mp3","leo_intro_side_listener_right.mp4","leo_side_listener_right.mp4","indirect"
