story,novel_word,key,thematic_dist,text_dist,taxonomic_dist,thematic_pdist,text_pdist,taxonomic_pdist,word_type
alex,koob,tree,leaf,apple,flower,bird,honey,grass,noun
billy,poip,money,bag,pocket,gold,jar,restroom,diamond,noun
cathy,manu,book,shelf,farm,newspaper,table,library,photo,noun
david,vab,paper,clip,pencil,chalkboard,stapler,crayon,whiteboard,noun
john,dage,bed,pillow,baseball,chair,blanket,soccer_ball,dresser,noun
kyla,loche,car,road,princess,ship,street,prince,bike,noun
mark,terb,cake,fork,candle,doughnut,plate,gift,pizza,noun
shirley,bosa,hair,hairbrush,witch_hat,face,comb,dress,eyebrow,noun
winter,zab,snow,sled,dog,rain,skateboard,squirrel,ice,noun
zoey,geag,sky,moon,sandcastle,ocean,star,bucket,sand,noun
circus,pim,jump,squat,greet,clap,squat,greet,clap,verb
grandpa,blick,grow,dig,shine,water,dig,shine,water,verb
henry,pilk,wear,drink,roll,eat,drink,roll,eat,verb
jack,twill,open,grab,run,catch,grab,run,catch,verb
leo,larp,kick,bend,stand,lift,bend,stand,lift,verb
luke,dax,cook,wipe,peel,chew,wipe,peel,chew,verb
mike,modi,cut,wash,mix,pour,wash,mix,pour,verb
nina,jav,fall,turn,wobble,sit,turn,wobble,sit,verb
olivia,tope,swim,walk,fly,monkey_eat,walk,fly,monkey_eat,verb
robbie,wug,count,shout,nod,cry,shout,nod,cry,verb